id	title	price_pc	price_mobile	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	naver_product_id	condition	import_flag	parallel_import	order_made	product_flag	rental_info	adult	goods_type	barcode	manufacture_define_number	model_number	brand	maker	origin	card_event	event_words	benefit_price	partner_coupon_download	interest_free_event	point	installation_costs	pre_match_code	search_tag	group_id	vendor_id	coordi_id	minimum_purchase_quantity	review_count	shipping	delivery_grade	delivery_detail	attribute	option_detail	seller_id	age_group	gender	benefit_start_date	benefit_end_date	brand_certification
1115	하리보 골드베렌 540g 점블박스 12g*45개	15980	15980		https://skmrkt.com/product/detail.html?product_no=1115&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1115&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/09953ab3fd4718b8d586d75749f53a5a_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				15980			16000			골드베렌|골드베렌통|하리보|젤리|하리보젤리|젤리추천|하리보통|haribo|하리보추천|간식|수입젤리|간식추천|과자|과자추천|하리보버킷|대용량젤리|하리보대용량|하리보소포장|소포장젤리				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1116	하리보 골드베렌 200g	3480	3480		https://skmrkt.com/product/detail.html?product_no=1116&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1116&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/aedbce0e51656c4c3ec0d9e460d3dc7d_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3480			3500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1117	하리보 해피콜라 200g	3480	3480		https://skmrkt.com/product/detail.html?product_no=1117&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1117&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/99daf95c980e14d487c9d4e5f89dfa8f_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3480			3500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1118	하리보 스타믹스 200g	3480	3480		https://skmrkt.com/product/detail.html?product_no=1118&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1118&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/d255db639c5093b35438957a19a0c08b_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3480			3500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1119	하리보 프루티 부시 200g	3480	3480		https://skmrkt.com/product/detail.html?product_no=1119&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1119&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/d2d3446bbc25c805adc677909734136d_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3480			3500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1120	하리보 해피 그레이프 200G	3480	3480		https://skmrkt.com/product/detail.html?product_no=1120&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1120&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202502/ed5ced20a23b1ea1198a37dd718e874c_dburl.jpg		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3480			3500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1121	하리보 웜즈 200g	3480	3480		https://skmrkt.com/product/detail.html?product_no=1121&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1121&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/eb6ed4be30ed88be89f3f3acf3a06111_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3480			3500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1122	하리보 웜즈 사우어 160g	3480	3480		https://skmrkt.com/product/detail.html?product_no=1122&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1122&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/7bc364d126445158c083a5d60eac5cf6_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3480			3500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1123	하리보 해피콜라 사우어 160g	3480	3480		https://skmrkt.com/product/detail.html?product_no=1123&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1123&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/b514e8a16b87a3c8c2b0153d21b39311_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3480			3500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
1129	하리보 메가룰렛 45g 터키	1080	1080		https://skmrkt.com/product/detail.html?product_no=1129&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=1129&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/ff574acafa8e6b95d2c7f1f5096da0ec_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1080			1100							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
